t_ms,x,y
1593,1040.22,657.34
1597,1040.22,657.34
1602,1040.22,657.34
1607,1040.22,657.34
1612,1040.22,657.34
1617,1040.22,657.34
1621,1040.22,657.34
1626,1040.22,657.34
1631,1040.22,657.34
1636,1040.22,657.34
1641,1040.22,657.34
1646,1040.22,657.34
1651,1040.22,657.34
1656,1040.22,657.34
1661,1040.22,657.34
1665,1040.22,657.34
1670,1040.22,657.34
1675,1040.22,657.34
1680,1040.22,657.34
1685,1040.22,657.34
1690,1040.22,657.34
1695,1040.22,657.34
1700,1040.22,657.34
1704,1040.22,657.34
1709,1040.22,657.34
1714,1040.22,657.34
1719,1040.22,657.34
1724,1040.22,657.34
1729,1040.22,657.34
1734,1040.22,657.34
1739,1040.22,657.34
1744,1040.22,657.34
1749,1040.22,657.34
1754,1040.22,657.34
1758,1040.22,657.34
1763,1040.22,657.34
1768,1040.22,657.34
1773,1040.22,657.34
1778,1040.22,657.34
1783,1040.22,657.34
1788,1040.22,657.34
1793,1040.22,657.34
1798,1040.22,657.34
1803,1040.22,657.34
1808,1040.22,657.34
1813,1040.22,657.34
1818,1040.22,657.34
1822,1040.22,657.34
1827,1040.22,657.34
1832,1040.22,657.34
1836,1040.22,657.34
1841,1040.22,657.34
1846,1040.22,657.34
1851,1040.22,657.34
1856,1040.22,657.34
1861,1040.22,657.34
1865,1040.22,657.34
1870,1040.22,657.34
1875,1040.22,657.34
1880,1040.22,657.34
1885,1040.22,657.34
1889,1040.22,657.34
1894,1040.22,657.34
1899,1040.22,657.34
1904,1040.22,657.34
1909,1040.22,657.34
1914,1040.22,657.34
1919,1040.22,657.34
1924,1040.22,657.34
1929,1040.22,657.34
1934,1040.22,657.34
1939,1040.22,657.34
1943,1040.22,657.34
1948,1040.22,657.34
1952,1040.22,657.34
1957,1040.22,657.34
1962,1040.22,657.34
1967,1040.22,657.34
1972,1040.22,657.34
1977,1040.22,657.34
1981,1040.22,657.34
1986,1040.22,657.34
1991,1040.22,657.34
1996,1040.22,657.34
2001,1040.22,657.34
2006,1040.22,657.34
2011,1040.22,657.34
2016,1040.22,657.34
2021,1040.22,657.34
2026,1040.22,657.34
2030,1040.22,657.34
2035,1040.22,657.34
2039,1040.22,657.34
2044,1040.22,657.34
2049,1040.22,657.34
2054,1040.22,657.34
2059,1040.22,657.34
2063,1040.22,657.34
2068,1040.22,657.34
2072,1040.22,657.34
2077,1040.22,657.34
2082,1040.22,657.34
2087,1040.22,657.34
2092,1040.22,657.34
2097,1040.22,657.34
2102,1040.22,657.34
2107,1040.22,657.34
2112,1040.22,657.34
2116,1040.22,657.34
2120,1040.22,657.34
2125,1040.22,657.34
2130,1040.22,657.34
2135,1040.22,657.34
2140,1040.22,657.34
2145,1040.22,657.34
2150,1040.22,657.34
2155,1040.22,657.34
2160,1040.22,657.34
2165,1040.22,657.34
2170,1040.22,657.34
2174,1040.22,657.34
2179,1040.22,657.34
2184,1040.22,657.34
2189,1040.22,657.34
2194,1040.22,657.34
2199,1040.22,657.34
2203,1040.22,657.34
2208,1040.22,657.34
2213,1040.22,657.34
2218,1040.22,657.34
2223,1040.22,657.34
2227,1040.22,657.34
2232,1040.22,657.34
2237,1040.22,657.34
2242,1040.22,657.34
2246,1040.22,657.34
2251,1040.22,657.34
2256,1040.22,657.34
2261,1040.22,657.34
2266,1040.22,657.34
2270,1040.22,657.34
2275,1040.22,657.34
2280,1040.22,657.34
2285,1040.22,657.34
2290,1040.22,657.34
2294,1040.22,657.34
2299,1040.22,657.34
2304,1040.22,657.34
2309,1040.22,657.34
2314,1040.22,657.34
2318,1040.22,657.34
2323,1040.22,657.34
2328,1040.22,657.34
2333,1040.22,657.34
2338,1040.22,657.34
2342,1040.22,657.34
2347,1040.22,657.34
2352,1040.22,657.34
2357,1040.22,657.34
2362,1040.22,657.34
